10 0
1010 0
2010 0
3010 0.0001
4010 0.0001
5010 0.0001
6010 0.0001
7010 0.0001
8010 0.0001
9010 0.0002
10010 0.0002
11010 0.0002
12010 0.0002
13010 0.0002
14010 0.0003
15010 0.0003
16010 0.0003
17010 0.0003
18010 0.0003
19010 0.0004
20010 0.0004
21010 0.0003
22010 0.0005
23010 0.0004
24010 0.0005
25010 0.0004
26010 0.0005
27010 0.0005
28010 0.0006
29010 0.0005
30010 0.0006
31010 0.0005
32010 0.0006
33010 0.0006
34010 0.0006
35010 0.0007
36010 0.0006
37010 0.0007
38010 0.0007
39010 0.0007
40010 0.0007
41010 0.0008
42010 0.0008
43010 0.0008
44010 0.0008
45010 0.0008
46010 0.0009
47010 0.0009
48010 0.0009
49010 0.0009
50010 0.0009
51010 0.001
52010 0.0009
53010 0.001
54010 0.001
55010 0.001
56010 0.001
57010 0.0011
58010 0.0011
59010 0.0011
60010 0.0011
61010 0.0011
62010 0.0013
63010 0.0012
64010 0.0012
65010 0.0012
66010 0.0013
67010 0.0012
68010 0.0013
69010 0.0013
70010 0.0012
71010 0.0013
72010 0.0013
73010 0.0014
74010 0.0014
75010 0.0014
76010 0.0014
77010 0.0016
78010 0.0015
79010 0.0015
80010 0.0016
81010 0.0016
82010 0.0016
83010 0.0016
84010 0.0016
85010 0.0016
86010 0.0015
87010 0.0017
88010 0.0017
89010 0.0017
90010 0.0017
91010 0.0018
92010 0.0018
93010 0.0018
94010 0.0018
95010 0.0018
96010 0.002
97010 0.0019
98010 0.002
99010 0.0019
